वार्ड संख्या,मतदाता,11-09 पोल,कुल गिने मत,NOTA,प्रत्याशी का नाम,लिंग,दल,चुनाव प्रतीक,भाग 1 मत,भाग 2 मत,डाक मत,कुल मत,स्थिति,जीत का अंतर
"28","880","611","611","5","मदनलाल","पुरुष","भारतीय जनता पार्टी","कमल","202","0","0","202","-","33"
"28","880","611","611","5","हिम्मतमल","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","52","0","0","52","-",""
"28","880","611","611","5","अर्जुन सिंह","पुरुष","निर्दलीय","टेलीफोन","235","0","0","235","विजेता (Declared)","33"
"28","880","611","611","5","बंटी कुमार","पुरुष","निर्दलीय","सेब","104","0","0","104","-",""
"28","880","611","611","5","भवानी सिंह","पुरुष","निर्दलीय","अलमारी","11","0","0","11","-",""
"28","880","611","611","5","मोडाराम","पुरुष","निर्दलीय","हाथ गाड़ी","2","0","0","2","-",""
"29","951","674","674","5","संदीप कुमार लोहार","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","12","0","0","12","-","75"
"29","951","674","674","5","सुरेश कुमार","पुरुष","भारतीय जनता पार्टी","कमल","150","0","0","150","-",""
"29","951","674","674","5","कैलाश कुमार","पुरुष","निर्दलीय","बाँसुरी","47","0","0","47","-",""
"29","951","674","674","5","जितेन्द्र कुमार","पुरुष","निर्दलीय","सेब","225","0","0","225","विजेता (Declared)","75"
"29","951","674","674","5","मंच्छाराम","पुरुष","निर्दलीय","अलमारी","117","0","0","117","-",""
"29","951","674","674","5","महेन्द्र","पुरुष","निर्दलीय","सिलाई की मशीन","92","0","0","92","-",""
"29","951","674","674","5","रविन्द्र गहलोत","पुरुष","निर्दलीय","बाल्टी","26","0","0","26","-",""
"30","652","510","510","2","महेन्द्र कुमार","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","23","0","0","23","-","80"
"30","652","510","510","2","रविकान्त रावल","पुरुष","भारतीय जनता पार्टी","कमल","225","0","0","225","विजेता (Declared)","80"
"30","652","510","510","2","गोविन्द कुमार","पुरुष","निर्दलीय","अलमारी","145","0","0","145","-",""
"30","652","510","510","2","नरेश कुमार खण्डेलवाल","पुरुष","निर्दलीय","चारपाई","6","0","0","6","-",""
"30","652","510","510","2","रोहित कुमार","पुरुष","निर्दलीय","सेब","109","0","0","109","-",""
"31","746","502","502","7","भरत सोलंकी","पुरुष","भारतीय जनता पार्टी","कमल","221","0","0","221","विजेता (Declared)","151"
"31","746","502","502","7","भैराराम देवड़ा","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","70","0","0","70","-",""
"31","746","502","502","7","अर्जुन कुमार माली","पुरुष","निर्दलीय","कैंची","5","0","0","5","-",""
"31","746","502","502","7","कान्तिलाल","पुरुष","निर्दलीय","बाल्टी","42","0","0","42","-",""
"31","746","502","502","7","नरेन्द्र कुमार","पुरुष","निर्दलीय","चारपाई","68","0","0","68","-",""
"31","746","502","502","7","प्रवीण देवड़ा","पुरुष","निर्दलीय","गैस का चूल्हा","64","0","0","64","-",""
"31","746","502","502","7","मदन लाल","पुरुष","निर्दलीय","अलमारी","25","0","0","25","-",""
"32","941","721","721","8","महेन्द्र माली","पुरुष","भारतीय जनता पार्टी","कमल","247","0","0","247","-","219"
"32","941","721","721","8","प्रकाश सोलंकी","पुरुष","निर्दलीय","बाल्टी","466","0","0","466","विजेता (Declared)","219"
"33","1071","759","759","10","अशोक कुमार","पुरुष","आम आदमी पार्टी","झाड़ू","18","0","0","18","-","234"
"33","1071","759","759","10","मोहनलाल","पुरुष","भारतीय जनता पार्टी","कमल","240","0","0","240","-",""
"33","1071","759","759","10","राजा राम गाडल","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","474","0","0","474","विजेता (Declared)","234"
"33","1071","759","759","10","अमृत लाल चन्देल","पुरुष","निर्दलीय","अलमारी","17","0","0","17","-",""
"34","1234","912","912","8","अमृतलाल","पुरुष","इण्डियन नेशनल कांग्रेस","हाथ","383","0","0","383","विजेता (Declared)","172"
"34","1234","912","912","8","गजेन्द्र डांगी","पुरुष","भारतीय जनता पार्टी","कमल","165","0","0","165","-",""
"34","1234","912","912","8","कन्हैयालाल","पुरुष","निर्दलीय","हारमोनियम","57","0","0","57","-",""
"34","1234","912","912","8","छगनलाल","पुरुष","निर्दलीय","अलमारी","211","0","0","211","-",""
"34","1234","912","912","8","मांगीलाल उर्फ मुकेश","पुरुष","निर्दलीय","स्कूल का बस्ता","63","0","0","63","-",""
"34","1234","912","912","8","राजेन्द्र कुमार","पुरुष","निर्दलीय","टेलीविजन","25","0","0","25","-",""
"35","876","608","608","3","रेखा कंवर","महिला","भारतीय जनता पार्टी","कमल","283","0","0","283","विजेता (Declared)","40"
"35","876","608","608","3","सविता देवी","महिला","इण्डियन नेशनल कांग्रेस","हाथ","243","0","0","243","-",""
"35","876","608","608","3","गीता भुआ","महिला","निर्दलीय","सेब","42","0","0","42","-",""
"35","876","608","608","3","चम्पाबाई","महिला","निर्दलीय","सिलाई की मशीन","37","0","0","37","-",""
